"Group","Acer rubrum","Acer saccharum","Carya cordiformis","Carya ovata","Celtis occidentalis","Cercis canadensis","Cornus florida","Fagus grandifolia","Fraxinus americana","Fraxinus pennsylvanica","Hamamelis virginiana","Juniperus virginiana","Liriodendron tulipifera","Paulownia tomentosa","Prunus serotina","Quercus alba","Quercus coccinea","Quercus prinus","Quercus rubra","Quercus shumardii","Quercus velutina","Rhus typhina","Sassafras albidum","Tilia americana","Ulmus americana","Ulmus rubra"
"517",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"518",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1
"519",0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"520",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"521",0,24,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0
"522",4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0
"523",7,8,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"524",14,10,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0
"600",1,11,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"601",2,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
"602",7,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"603",2,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
"604",0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"605",1,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"606",0,11,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"607",0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"608",1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
"609",0,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610",0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"611",0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"612",0,14,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"613",0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1
"614",0,12,0,0,0,0,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,11
"615",0,13,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"616",0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0
"617",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"618",0,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"619",0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
"620",0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0
"621",0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"622",3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0
"623",6,11,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0
"624",8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,12,0,0,2,0,1,0,0,0
"700",0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"701",4,11,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"702",6,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,6,0,0,3,0,1,0,0,0
"703",4,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0
"704",2,21,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"705",1,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"706",0,13,0,0,0,0,0,11,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"707",0,12,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
"708",0,9,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0
"709",0,14,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"710",0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"711",0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
"712",0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1
"713",0,13,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
"714",0,8,0,0,0,0,0,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"715",0,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"716",0,11,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"717",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"718",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
"719",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
"720",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5
"721",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"722",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"723",4,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0
"724",11,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,0,1,0,2,0,0,0
"800",5,5,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"801",3,4,0,0,0,0,0,24,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
"802",4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0
"803",7,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,4,0,2,0,0,0
"804",7,5,0,0,0,0,1,20,0,0,0,0,0,0,0,1,0,5,1,0,1,0,3,0,0,0
"805",0,32,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0
"806",0,25,0,0,0,0,0,14,1,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"807",0,16,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"808",0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"809",0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"810",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"811",0,18,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
